"","date","open","high","low","close"
"97",2021-02-18,1.20455,1.20959,1.20358,1.2092
"98",2021-02-19,1.20919,1.21446,1.20825,1.21187
"99",2021-02-21,1.2122,1.21293,1.21151,1.21249
"100",2021-02-22,1.21248,1.21695,1.20913,1.21641
"101",2021-02-23,1.2164,1.21801,1.21355,1.21509
"102",2021-02-24,1.21508,1.21747,1.21094,1.21696
"103",2021-02-25,1.21697,1.22431,1.21561,1.21579
"104",2021-02-26,1.2158,1.21827,1.20624,1.20745
"105",2021-02-28,1.20719,1.2092,1.20709,1.20906
"106",2021-03-01,1.20907,1.21014,1.2028,1.20487
"107",2021-03-02,1.20488,1.20945,1.19918,1.20851
"108",2021-03-03,1.20852,1.21133,1.20435,1.20467
"109",2021-03-04,1.20466,1.20633,1.19609,1.19674
"110",2021-03-05,1.19673,1.19687,1.18941,1.19157
"111",2021-03-07,1.19187,1.19322,1.19176,1.19264
"112",2021-03-08,1.19263,1.19323,1.18443,1.1851
"113",2021-03-09,1.18511,1.19158,1.18357,1.18971
"114",2021-03-10,1.1897,1.19299,1.18693,1.19246
"115",2021-03-11,1.19245,1.199,1.19158,1.1981
"116",2021-03-12,1.19811,1.19886,1.19101,1.19557
"117",2021-03-14,1.19482,1.19546,1.19437,1.19502
"118",2021-03-15,1.19501,1.19675,1.19113,1.19263
"119",2021-03-16,1.19264,1.19519,1.18825,1.19022
"120",2021-03-17,1.19021,1.19875,1.18864,1.19827
"121",2021-03-18,1.19828,1.19889,1.19064,1.19168
"122",2021-03-19,1.19198,1.19373,1.18741,1.19034
"123",2021-03-21,1.18782,1.18902,1.18732,1.18839
"124",2021-03-22,1.1884,1.19469,1.18747,1.19323
"125",2021-03-23,1.19324,1.19408,1.18362,1.18398
"126",2021-03-24,1.18399,1.1851,1.18092,1.1813
"127",2021-03-25,1.18132,1.18278,1.17619,1.17758
"128",2021-03-26,1.17759,1.18051,1.17718,1.17935
"129",2021-03-28,1.17926,1.17936,1.17859,1.17877
"130",2021-03-29,1.17876,1.1794,1.17609,1.17688
"131",2021-03-30,1.17683,1.17739,1.17126,1.17233
"132",2021-03-31,1.17234,1.17599,1.17042,1.17272
"133",2021-04-01,1.17273,1.17828,1.17127,1.17774
"134",2021-04-02,1.17773,1.17866,1.17492,1.17601
"135",2021-04-04,1.17574,1.1768,1.17549,1.17677
"136",2021-04-05,1.17676,1.18196,1.1738,1.18171
"137",2021-04-06,1.1817,1.18778,1.17954,1.18739
"138",2021-04-07,1.1874,1.19148,1.1861,1.18727
"139",2021-04-08,1.18728,1.19275,1.18609,1.19155
"140",2021-04-09,1.19154,1.19202,1.18682,1.19
"141",2021-04-11,1.18943,1.19041,1.18935,1.18961
"142",2021-04-12,1.1896,1.19192,1.18713,1.19118
"143",2021-04-13,1.19119,1.1956,1.18782,1.19539
"144",2021-04-14,1.1954,1.19875,1.19512,1.19833
"145",2021-04-15,1.19832,1.19934,1.19562,1.19695
"146",2021-04-16,1.19694,1.19947,1.19506,1.19836
"147",2021-04-18,1.19744,1.197755,1.19682,1.1969
"148",2021-04-19,1.19689,1.20479,1.19426,1.20427
"149",2021-04-20,1.20428,1.20799,1.20225,1.20326
"150",2021-04-21,1.20325,1.20438,1.19986,1.20374
"151",2021-04-22,1.20373,1.20696,1.19937,1.20145
"152",2021-04-23,1.20146,1.21,1.2013,1.20962
"153",2021-04-25,1.20931,1.20985,1.20889,1.20895
"154",2021-04-26,1.20896,1.2117,1.20612,1.20796
"155",2021-04-27,1.20795,1.20931,1.20569,1.20894
"156",2021-04-28,1.20893,1.21355,1.20563,1.2135
"157",2021-04-29,1.21351,1.215,1.21022,1.21247
"158",2021-04-30,1.21246,1.21266,1.20167,1.202
"159",2021-05-02,1.2029,1.20307,1.20247,1.20274
"160",2021-05-03,1.20275,1.20761,1.20131,1.20591
"161",2021-05-04,1.20592,1.20601,1.19991,1.20147
"162",2021-05-05,1.20146,1.20267,1.19861,1.20077
"163",2021-05-06,1.20076,1.20717,1.19933,1.20653
"164",2021-05-07,1.20652,1.21716,1.2053,1.21666
"165",2021-05-09,1.21645,1.2177,1.21614,1.21707
"166",2021-05-10,1.21708,1.21783,1.2128,1.21406
"167",2021-05-11,1.21407,1.21818,1.21232,1.21442
"168",2021-05-12,1.21443,1.21494,1.20727,1.20778
"169",2021-05-13,1.20777,1.21062,1.20515,1.20769
"170",2021-05-14,1.2077,1.21477,1.2071,1.21435
"171",2021-05-16,1.21437,1.21513,1.2141,1.21501
"172",2021-05-17,1.215,1.21689,1.21263,1.21565
"173",2021-05-18,1.21564,1.22341,1.21537,1.22225
"174",2021-05-19,1.22226,1.22452,1.216,1.21707
"175",2021-05-20,1.21706,1.22302,1.21691,1.22251
"176",2021-05-21,1.22253,1.22399,1.21609,1.21793
"177",2021-05-23,1.21813,1.21845,1.21724,1.21808
"178",2021-05-24,1.21809,1.223,1.21751,1.22143
"179",2021-05-25,1.22142,1.22665,1.22117,1.2247
"180",2021-05-26,1.22471,1.2263,1.2182,1.21922
"181",2021-05-27,1.21919,1.22151,1.21753,1.21929
"182",2021-05-28,1.2193,1.2205,1.21327,1.21915
